GrowingSeasonID,GrowingSeason,StartDate,EndDate
1,2004,2004-01-01 00:00:00,2004-12-31 00:00:00
2,2005,2005-01-01 00:00:00,2005-12-31 00:00:00
3,2003,2003-01-01 00:00:00,2003-12-31 00:00:00
4,2002,2002-01-01 00:00:00,2002-12-31 00:00:00
5,2006,2006-01-01 00:00:00,2006-12-31 00:00:00
6,2007,2007-01-01 00:00:00,2007-12-31 00:00:00
7,2008,2008-01-01 00:00:00,2008-12-31 00:00:00
8,2009,2009-01-01 00:00:00,2009-12-31 00:00:00
9,2010,2010-01-01 00:00:00,2010-12-31 00:00:00
10,2011,2011-01-01 00:00:00,2011-12-31 00:00:00
11,2012,2012-01-01 00:00:00,2012-12-31 00:00:00
12,2013,2013-01-01 00:00:00,2013-12-31 00:00:00
13,2014,2014-01-01 00:00:00,2014-12-31 00:00:00
14,2015,2015-01-01 00:00:00,2015-12-31 00:00:00
15,2016,2016-01-01 00:00:00,2016-12-31 00:00:00
16,2017,2017-01-01 00:00:00,2017-12-31 00:00:00
19,2018,2018-01-01 00:00:00,2018-12-31 00:00:00
20,2019,2019-01-01 00:00:00,2019-12-31 00:00:00
21,2020,2020-01-01 00:00:00,2020-12-31 00:00:00
22,2021,2021-01-01 00:00:00,2021-12-31 00:00:00
23,2022,2022-01-01 00:00:00,2022-12-31 00:00:00
24,2023,2023-01-01 00:00:00,2023-12-31 00:00:00
25,2024,2024-01-01 00:00:00,2024-12-31 00:00:00
26,2025,2025-01-01 00:00:00,2025-12-31 00:00:00